Source,Target,Type,Id,Label,Weight
1,2,Directed,1,,1.0
1,3,Directed,2,,1.0
1,4,Directed,3,,1.0
1,5,Directed,4,,1.0
2,6,Directed,5,,1.0
2,7,Directed,6,,1.0
2,8,Directed,7,,1.0
2,9,Directed,8,,1.0
2,10,Directed,9,,1.0
2,11,Directed,10,,1.0
2,12,Directed,11,,1.0
2,13,Directed,12,,1.0
2,4,Directed,13,,1.0
2,14,Directed,14,,1.0
2,15,Directed,15,,1.0
2,16,Directed,16,,1.0
2,17,Directed,17,,1.0
3,18,Directed,18,,1.0
3,19,Directed,19,,1.0
3,20,Directed,20,,1.0
3,21,Directed,21,,1.0
3,22,Directed,22,,1.0
3,23,Directed,23,,1.0
3,24,Directed,24,,1.0
3,25,Directed,25,,1.0
3,26,Directed,26,,1.0
3,27,Directed,27,,1.0
3,28,Directed,28,,1.0
3,29,Directed,29,,1.0
3,30,Directed,30,,1.0
3,31,Directed,31,,1.0
3,32,Directed,32,,1.0
3,33,Directed,33,,1.0
3,34,Directed,34,,1.0
3,35,Directed,35,,1.0
3,36,Directed,36,,1.0
3,37,Directed,37,,1.0
3,38,Directed,38,,1.0
3,39,Directed,39,,1.0
3,40,Directed,40,,1.0
3,41,Directed,41,,1.0
3,42,Directed,42,,1.0
3,43,Directed,43,,1.0
3,44,Directed,44,,1.0
3,45,Directed,45,,1.0
3,46,Directed,46,,1.0
3,47,Directed,47,,1.0
3,48,Directed,48,,1.0
3,49,Directed,49,,1.0
3,50,Directed,50,,1.0
3,51,Directed,51,,1.0
3,52,Directed,52,,1.0
3,53,Directed,53,,1.0
3,54,Directed,54,,1.0
3,55,Directed,55,,1.0
3,56,Directed,56,,1.0
3,57,Directed,57,,1.0
3,58,Directed,58,,1.0
3,59,Directed,59,,1.0
3,60,Directed,60,,1.0
3,61,Directed,61,,1.0
3,62,Directed,62,,1.0
3,63,Directed,63,,1.0
3,64,Directed,64,,1.0
3,65,Directed,65,,1.0
3,66,Directed,66,,1.0
